sics_id,opta_id,sc_id,first_name,last_name,known_name,born_date
10939,48860,8058,NIKI,MAENPAA,MAENPAA N.,1985-01-23
11934,233558,19885,GIULIO,MAGGIORE,MAGGIORE G.,1998-03-12
6251,14715,3546,FRANCESCO,MAGNANELLI,MAGNANELLI F.,1984-11-12
9372,161794,14170,GIANGIACOMO,MAGNANI,MAGNANI G.,1995-10-04
21438,129487,7604,MIKE,MAIGNAN,MAIGNAN M.,1995-07-03
8339,154043,11534,AINSLEY,MAITLAND-NILES,MAITLAND-NILES A.,1997-08-29
24414,199666,11770,JEAN-VICTOR,MAKENGO,MAKENGO J.,1998-06-12
6312,87542,8076,NIKOLA,MAKSIMOVIC,MAKSIMOVIC N.,1991-11-25
13418,83340,5841,KEVIN,MALCUIT,MALCUIT K.,1991-07-31
23287,488253,24452,DANIEL,MALDINI,MALDINI D.,2001-10-11
14384,232066,27653,YOUSSEF,MALEH,MALEH Y.,1998-08-22
14066,157374,12549,RUSLAN,MALINOVSKYI,MALINOVSKYI R.,1993-05-04
8717,194827,17479,REY,MANAJ,MANAJ R.,1997-02-24
8834,198374,11626,GIANLUCA,MANCINI,MANCINI G.,1996-04-17
5628,153758,19788,LEONARDO,MANCUSO,MANCUSO L.,1992-05-26
6524,182514,9226,ROLANDO,MANDRAGORA,MANDRAGORA R.,1997-06-29
6969,66806,5954,KONSTANTINOS,MANOLAS,MANOLAS K.,1991-06-14
11686,201333,19642,RICCARDO,MARCHIZZA,MARCHIZZA R.,1998-03-26
21915,460758,63462,DAVIDE,MARFELLA,MARFELLA D.,1999-09-15
25359,92371,8324,PABLO,MARI',MARI' P.,1993-08-31
18555,163632,13057,RAZVAN,MARIN,MARIN R.,1996-05-23
16755,209737,12643,LAUTARO,MARTINEZ,LAUTARO MARTINEZ,1997-08-22
14081,169107,196,ADAM,MARUSIC,MARUSIC A.,1992-10-17
7124,17985,778,ANDREA,MASIELLO,MASIELLO A.,2020-10-20
13082,209913,19843,ALES,MATEJU,MATEJU A.,1996-06-03
13410,199248,1401,BORJA,MAYORAL,MAYORAL B.,1997-04-05
9671,428237,19805,PASQUALE,MAZZOCCHI,MAZZOCCHI P.,1995-07-27
6095,119908,4402,IBRAHIMA,MBAYE,MBAYE I.,1994-11-19
17390,241519,11284,WESTON,MCKENNIE,MCKENNIE W.,1998-08-28
6107,48853,3768,GARY,MEDEL,MEDEL G.,1987-08-03
13269,195896,19800,FILIPPO,MELEGONI,MELEGONI F.,1999-02-18
6336,171366,13445,ALEX,MERET,MERET A.,1997-03-22
6199,54917,2870,DRIES,MERTENS,MERTENS D.,1987-05-06
14410,432070,27565,JUNIOR,MESSIAS,MESSIAS J.,1991-05-13
16910,218324,19811,KINGSLEY,MICHAEL,MICHAEL K.,1999-08-26
24459,439185,17435,VALENTIN,MIHAILA,MIHAILA V.,2000-02-02
27248,482956,162449,HILMIR RAFN,MIKAELSSON,MIKAELSSON H. R.,2004-02-02
14076,227444,11816,NIKOLA,MILENKOVIC,MILENKOVIC N.,1997-10-12
8627,180793,9729,SERGEJ,MILINKOVIC-SAVIC,MILINKOVIC-SAVIC S.,1995-02-27
12261,193773,10639,VANJA,MILINKOVIC-SAVIC,MILINKOVIC-SAVIC V.,1997-02-20
17384,160174,11648,ALEKSEY,MIRANCHUK,MIRANCHUK AL.,1995-10-17
23589,493115,41317,FABIO,MIRETTI,MIRETTI F.,2003-08-03
7220,57249,4287,HENRIKH,MKHITARYAN,MKHITARYAN H.,1989-01-21
7192,19537,27651,MARCO,MODOLO,MODOLO M.,1989-03-23
